account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onpos,isusuites,levy,prd,us-east-1,isu,,vn-spa-instance-onpos-isusuites,up,,v1.19.8-ec
vnon,onstatus,modacentersuites,levy,prd,us-east-1,blaze,,vn-spa-instance-onstatus-modacentersuites,up,,v1.3.1
vnon,oncanopy,usopenmerch,crux,prd,us-east-1,usopenmobile,,vn-spa-instance-oncanopy-usopenmerch,up,,v0.1.0
vnon,onmenumanager,sacrepublicfc,ara,prd,us-east-1,sacrepublicfc,,vn-spa-instance-onmenumanager-sacrepublicfc,up,,v2.19.2
vnon,onsuitesmanager,bankofamericasuites,levy,prd,us-east-1,panth,,vn-spa-instance-onsuitesmanager-bankofamericasuites,up,,v1.7.3
vnon,onrunner,broadwayportland,ara,prd,us-east-1,baaportland,,vn-spa-instance-onrunner-broadwayportland,up,,v0.0.7
vnon,datanow,fedexfield,crux,prd,us-east-1,fedexfield,,vn-spa-instance-datanow-fedexfield,up,,v0.4.1
vnon,onrefund,buckeyes,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-onrefund-buckeyes,up,,v2.4.3
vnon,oncanopy,amwaysuites,levy,prd,us-east-1,orena,,vn-spa-instance-oncanopy-amwaysuites,up,,v0.1.0
vnon,datanow,englishfield,crux,prd,us-east-1,virginiatech,,vn-spa-instance-datanow-englishfield,up,,v0.4.1
vnon,ordering,blackhawks,lyra,prd,us-east-1,chicagobulls,,vn-spa-instance-ordering-blackhawks,up,,v1.39.6
