account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onstatus,americanairlines,crux,prd,us-east-1,americanairlines,,vn-spa-instance-onstatus-americanairlines,up,,v2.3.0
vnon,ondevices,amber,mars,dev,us-east-1,arena,,vn-spa-instance-ondevices-amber-dev,up,,
vnon,datanow,amssuites,levy,prd,us-east-1,ams,,vn-spa-instance-datanow-amssuites,up,,
vnon,datanow,cltfc,crux,prd,us-east-1,car,,vn-spa-instance-datanow-cltfc,up,,v1.1.0
vnon,onrefund,tmssuites,levy,prd,us-east-1,tms,,vn-spa-instance-onrefund-tmssuites,up,,v2.4.11
vnon,onrefund,ugastadium,crux,prd,us-east-1,georgiadogs,,vn-spa-instance-onrefund-ugastadium,up,,v2.5.0
vnon,onpos,sixflagsfiestatexas,sixflags,prd,us-east-1,sixflags,,vn-spa-instance-onpos-sixflagsfiestatexas,up,,v2.19.19-qs
vnon,onrefund,rays,crux,prd,us-east-1,tbrays,,vn-spa-instance-onrefund-rays,up,,v2.5.0
vnon,onstatus,tqlsuites,levy,prd,us-east-1,fccin,,vn-spa-instance-onstatus-tqlsuites,up,,v1.3.1
vnon,onpos,razorbbsuites,levy,prd,us-east-1,razbb,,vn-spa-instance-onpos-razorbbsuites,up,,v1.19.8-ec
vnon,onboard,mountainamerica,ara,prd,us-east-1,mountainamericacenter,,vn-spa-instance-onboard-mountainamerica,up,,v1.0.2
vnon,onpos,ferrellcenter,crux,prd,us-east-1,bayloruniversity,,vn-spa-instance-onpos-ferrellcenter,up,,v2.25.11-qs
vnon,onrefund,lvballparksuites,levy,prd,us-east-1,vegas,,vn-spa-instance-onrefund-lvballparksuites,up,,v2.4.11
vnon,onrunner,slscdev,mars,qa,us-east-1,slscdev,,vn-spa-instance-onrunner-slscdev-qa,up,,v0.1.1
vnon,onrefund,nationalsbrewhouse,lyra,prd,us-east-1,nationals,,vn-spa-instance-onrefund-nationalsbrewhouse,up,,v2.5.0
vnon,onstatus,texastech,ara,prd,us-east-1,texastech,,vn-spa-instance-onstatus-texastech,up,,v2.3.0
vnon,onpos,sodpoodlesfs,lyra,prd,us-east-1,sodpoodles,,vn-spa-instance-onpos-sodpoodlesfs,up,,
vnon,ordering,chsfield,lyra,prd,us-east-1,chsfield,,vn-spa-instance-ordering-chsfield,up,,v1.45.0
vnon,onrefund,doi35,crux,prd,us-east-1,disneyonice,,vn-spa-instance-onrefund-doi35,up,,v2.5.0
vnon,onmenumanager,ugacolisum,crux,prd,us-east-1,georgiadogs,,vn-spa-instance-onmenumanager-ugacolisum,up,,v2.22.8
vnon,onrefund,cws,crux,prd,us-east-1,campingworldstadium,,vn-spa-instance-onrefund-cws,up,,v2.5.0
vnon,onmenumanager,opconventioncenter,lyra,prd,us-east-1,opconventioncenter,,vn-spa-instance-onmenumanager-opconventioncenter,up,,v2.22.8
vnon,onrefund,ussrcevents,crux,prd,us-east-1,marsgrill,,vn-spa-instance-onrefund-ussrcevents,up,,v2.5.0
vnon,onboard,delldiamondparking,lyra,prd,us-east-1,roundrock,,vn-spa-instance-onboard-delldiamondparking,up,,v1.0.2
vnon,onsuitesmanager,renard,mars,qa,us-east-1,renard,,vn-spa-instance-onsuitesmanager-renard-qa,up,,
vnon,onpos,soonerslogefs,lyra,prd,us-east-1,sooners,,vn-spa-instance-onpos-soonerslogefs,up,,v2.25.11-qs
vnon,ordering,tmobile,ara,prd,us-east-1,tmobile,,vn-spa-instance-ordering-tmobile,up,,v1.45.0
vnon,onrefund,sestra,lyra,prd,us-east-1,sestra,,vn-spa-instance-onrefund-sestra,up,,v2.5.0
vnon,onstatus,stjamestheatre,crux,prd,us-east-1,stjamestheatre,,vn-spa-instance-onstatus-stjamestheatre,up,,v2.3.0
vnon,onpos,nicholasrcfs,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onpos-nicholasrcfs,up,,
vnon,ordering,bbvasuites,levy,prd,us-east-1,dynmo,,vn-spa-instance-ordering-bbvasuites,up,,v1.43.2
vnon,onboard,elevy,levy,prd,us-east-1,elevy,,vn-spa-instance-onboard-elevy,up,,v1.0.2
vnon,onmenumanager,weidnerfieldsuites,levy,prd,us-east-1,swbk,,vn-spa-instance-onmenumanager-weidnerfieldsuites,up,,v2.22.8
vnon,onrunner,toyotasuites,levy,prd,us-east-1,rktlq,,vn-spa-instance-onrunner-toyotasuites,up,,v0.1.1
vnon,onpos,sbzoo,ara,prd,us-east-1,sbzoo,,vn-spa-instance-onpos-sbzoo,up,,v2.25.11-qs
vnon,onrunner,phxsunssuites,levy,prd,us-east-1,awa,,vn-spa-instance-onrunner-phxsunssuites,up,,v0.1.1
vnon,ondevices,aacsuites,levy,prd,us-east-1,dall,,vn-spa-instance-ondevices-aacsuites,up,,v1.9.0
vnon,onrunner,golobos,ara,prd,us-east-1,uofnewmexico,,vn-spa-instance-onrunner-golobos,up,,v0.0.7
vnon,onrunner,fedexfield,crux,prd,us-east-1,fedexfield,,vn-spa-instance-onrunner-fedexfield,up,,v0.1.1
vnon,onsuitesmanager,themusiccenter,ara,prd,us-east-1,themusiccenter,,vn-spa-instance-onsuitesmanager-themusiccenter,up,,v1.7.7
vnon,onstatus,drphillipscenter,crux,prd,us-east-1,baadrphillipscenter,,vn-spa-instance-onstatus-drphillipscenter,up,,v2.3.0
vnon,onloyalty,orlandomagic,crux,prd,us-east-1,magic,,vn-spa-instance-onloyalty-orlandomagic,up,,v1.9.0
vnon,onrunner,rmfh,lyra,prd,us-east-1,rocketmortgage,,vn-spa-instance-onrunner-rmfh,up,,v0.1.1
vnon,onrefund,texaslonghorns,crux,prd,us-east-1,universityoftexas,,vn-spa-instance-onrefund-texaslonghorns,up,,v2.5.0
vnon,onpos,ticketmaster,ara,prd,us-east-1,ticketmaster,,vn-spa-instance-onpos-ticketmaster,up,,v2.25.11-qs
vnon,onpos,dlr,tarzan,qa,us-east-1,dlr,,vn-spa-instance-onpos-dlr-qa,up,,
vnon,ondevices,tamubaseballsuites,levy,prd,us-east-1,tamus,,vn-spa-instance-ondevices-tamubaseballsuites,up,,v1.9.0
vnon,onrunner,uwfieldhouse,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onrunner-uwfieldhouse,up,,v0.1.1
